Light Intensity, Ch A vs Actual Angular Position, Run #38
Actual Angular Position	Light Intensity Ch A (%max)
0.259	0.098
0.259	0.000
0.259	0.195
0.259	0.000
0.259	0.098
0.259	0.000
0.259	0.195
0.259	0.000
0.259	0.195
0.260	0.000
0.260	0.195
0.260	0.000
0.260	0.195
0.260	0.000
0.260	0.195
0.260	0.000
0.260	0.195
0.260	0.000
0.260	0.195
0.260	0.000
0.260	0.195
0.260	0.000
0.260	0.293
0.260	0.000
0.260	0.195
0.261	0.000
0.261	0.195
0.261	0.000
0.261	0.195
0.261	0.000
0.262	0.195
0.262	0.000
0.262	0.195
0.262	0.000
0.262	0.195
0.262	0.000
0.262	0.098
0.263	0.000
0.264	0.098
0.264	-0.098
0.264	0.000
0.265	-0.195
0.265	0.098
0.266	-0.195
0.266	0.098
0.267	-0.195
0.267	0.098
0.267	-0.195
0.268	0.098
0.268	-0.195
0.268	0.098
0.268	-0.195
0.268	0.098
0.268	-0.195
0.268	0.098
0.268	-0.195
0.268	0.000
0.268	-0.195
0.268	0.098
0.268	-0.195
0.268	0.098
0.268	-0.195
0.269	0.098
0.269	-0.195
0.269	0.098
0.269	-0.195
0.269	0.098
0.269	-0.195
0.269	0.098
0.269	-0.195
0.269	0.098
0.270	-0.195
0.270	0.000
0.270	-0.195
0.270	0.098
0.270	-0.098
0.270	0.098
0.270	-0.195
0.270	0.098
0.271	-0.195
0.271	0.000
0.271	-0.195
0.272	0.098
0.272	-0.195
0.273	0.098
0.273	-0.195
0.273	0.098
0.273	-0.195
0.273	0.098
0.273	-0.195
0.273	0.098
0.274	-0.195
0.274	0.000
0.274	-0.195
0.274	0.098
0.274	-0.195
0.274	0.098
0.275	-0.195
0.275	0.000
0.275	-0.195
0.275	0.098
0.275	-0.195
0.276	0.098
0.276	-0.195
0.276	0.098
0.276	-0.195
0.276	0.098
0.276	-0.293
0.276	0.098
0.276	-0.195
0.277	0.098
0.277	-0.195
0.277	0.098
0.277	-0.195
0.277	0.098
0.277	-0.195
0.277	0.098
0.278	-0.195
0.278	0.098
0.278	-0.195
0.278	0.098
0.278	-0.293
0.278	0.195
0.278	-0.195
0.278	0.098
0.278	-0.195
0.278	0.098
0.279	-0.195
0.279	0.098
0.279	-0.195
0.280	0.195
0.280	-0.195
0.280	0.098
0.280	-0.195
0.280	0.098
0.280	-0.195
0.280	0.195
0.281	-0.195
0.281	0.098
0.281	-0.195
0.281	0.098
0.281	-0.293
0.282	0.195
0.282	-0.195
0.282	0.098
0.282	-0.195
0.283	0.195
0.283	-0.195
0.283	0.098
0.283	-0.293
0.283	0.098
0.284	-0.195
0.284	0.098
0.284	-0.195
0.284	0.195
0.284	-0.195
0.284	0.098
0.284	-0.195
0.284	0.195
0.285	-0.195
0.285	0.195
0.285	-0.195
0.285	0.195
0.286	-0.195
0.286	0.098
0.286	-0.195
0.286	0.098
0.287	-0.195
0.287	0.195
0.287	-0.195
0.287	0.098
0.287	-0.195
0.287	0.098
0.288	-0.195
0.288	0.195
0.288	-0.195
0.288	0.195
0.288	-0.195
0.288	0.195
0.289	-0.195
0.289	0.195
0.289	-0.195
0.289	0.293
0.290	-0.195
0.291	0.391
0.291	0.000
0.291	0.391
0.291	0.000
0.291	0.391
0.291	0.000
0.291	0.488
0.292	0.098
0.292	0.586
0.292	0.195
0.292	0.586
0.292	0.293
0.293	0.879
0.293	0.586
0.293	0.977
0.294	0.586
0.294	1.172
0.294	0.781
0.294	1.270
0.294	0.781
0.295	1.270
0.295	0.781
0.295	1.270
0.295	0.781
0.295	1.172
0.295	0.586
0.296	1.172
0.296	0.586
0.296	0.977
0.296	0.488
0.296	0.977
0.296	0.391
0.297	0.781
0.297	0.098
0.297	0.586
0.297	0.000
0.297	0.391
0.297	0.000
0.298	0.391
0.298	0.000
0.298	0.293
0.298	-0.195
0.298	0.195
0.299	-0.195
0.299	0.195
0.299	-0.293
0.300	0.195
0.300	-0.293
0.300	0.195
0.300	-0.293
0.301	0.195
0.301	-0.293
0.301	0.195
0.301	-0.293
0.301	0.195
0.302	-0.293
0.302	0.195
0.302	-0.293
0.303	0.195
0.303	-0.293
0.304	0.195
0.304	-0.293
0.304	0.195
0.304	-0.391
0.304	0.195
0.304	-0.293
0.304	0.195
0.304	-0.293
0.304	0.195
0.305	-0.293
0.305	0.195
0.305	-0.293
0.305	0.195
0.306	-0.293
0.306	0.195
0.306	-0.293
0.306	0.195
0.306	-0.293
0.307	0.195
0.307	-0.293
0.308	0.098
0.311	-0.391
0.311	0.195
0.311	-0.293
0.311	0.195
0.311	-0.293
0.311	0.195
0.312	-0.293
0.312	0.195
0.312	-0.391
0.312	0.195
0.312	-0.391
0.313	0.195
0.313	-0.293
0.316	0.195
0.319	-0.293
0.319	0.195
0.319	-0.391
0.320	0.195
0.321	-0.391
0.322	0.195
0.322	-0.293
0.323	0.195
0.323	-0.293
0.324	0.195
0.324	-0.391
0.326	0.195
0.326	-0.391
0.327	0.195
0.328	-0.391
0.329	0.195
0.329	-0.293
0.330	0.195
0.331	-0.293
0.331	0.195
0.332	-0.391
0.333	0.195
0.334	-0.293
0.334	0.195
0.335	-0.293
0.335	0.195
0.337	-0.391
0.338	0.195
0.339	-0.391
0.340	0.195
0.340	-0.391
0.341	0.195
0.341	-0.293
0.342	0.293
0.343	-0.293
0.343	0.195
0.344	-0.391
0.344	0.195
0.344	-0.391
0.345	0.195
0.345	-0.293
0.345	0.195
0.345	-0.293
0.346	0.293
0.346	-0.391
0.346	0.195
0.346	-0.391
0.347	0.195
0.347	-0.391
0.347	0.293
0.348	-0.391
0.348	0.195
0.349	-0.391
0.349	0.195
0.350	-0.391
0.350	0.195
0.350	-0.391
0.351	0.195
0.351	-0.391
0.351	0.293
0.352	-0.391
0.352	0.195
0.353	-0.391
0.353	0.293
0.353	-0.391
0.354	0.195
0.354	-0.391
0.354	0.195
0.355	-0.391
0.355	0.195
0.356	-0.391
0.356	0.195
0.356	-0.391
0.356	0.195
0.357	-0.391
0.357	0.195
0.357	-0.391
0.357	0.195
0.358	-0.391
0.358	0.195
0.359	-0.391
0.359	0.195
0.360	-0.293
0.360	0.293
0.361	-0.293
0.361	0.195
0.362	-0.391
0.363	0.195
0.364	-0.391
0.366	0.195
0.367	-0.391
0.369	0.195
0.370	-0.391
0.371	0.195
0.373	-0.293
0.374	0.195
0.375	-0.391
0.376	0.195
0.377	-0.293
0.378	0.293
0.378	-0.391
0.378	0.195
0.378	-0.293
0.379	0.195
0.379	-0.391
0.380	0.195
0.380	-0.391
0.380	0.195
0.380	-0.391
0.380	0.195
0.381	-0.391
0.382	0.293
0.382	-0.391
0.383	0.195
0.384	-0.391
0.384	0.195
0.384	-0.293
0.385	0.195
0.385	-0.293
0.385	0.293
0.385	-0.391
0.385	0.293
0.386	-0.293
0.386	0.293
0.386	-0.391
0.386	0.195
0.387	-0.293
0.387	0.195
0.387	-0.293
0.387	0.293
0.388	-0.293
0.388	0.293
0.388	-0.293
0.389	0.195
0.389	-0.391
0.390	0.293
0.391	-0.293
0.391	0.391
0.392	-0.293
0.392	0.293
0.392	-0.293
0.393	0.293
0.393	-0.293
0.393	0.293
0.394	-0.293
0.394	0.195
0.394	-0.293
0.395	0.293
0.395	-0.293
0.396	0.391
0.397	-0.195
0.397	0.391
0.397	-0.195
0.398	0.391
0.398	0.000
0.398	0.488
0.399	0.000
0.399	0.586
0.399	0.098
0.399	0.781
0.399	0.195
0.400	0.781
0.400	0.391
0.400	0.977
0.401	0.488
0.401	1.270
0.402	0.781
0.402	1.563
0.402	1.172
0.403	1.758
0.403	1.563
0.403	2.246
0.403	1.953
0.404	2.734
0.404	2.441
0.404	3.516
