Distance_(pixels),Gray_Value
595,106.8270
596,106.7571
597,106.6178
598,106.1452
599,105.7074
600,105.2542
601,104.7288
602,104.2785
603,104.1583
604,104.1459
605,103.8728
606,103.4319
607,102.8723
608,102.5488
609,102.4101
610,102.3361
611,102.1757
612,102.0222
613,102.0754
614,102.1589
615,102.3663
616,102.4249
617,102.3401
618,102.3801
619,102.5795
620,102.8244
621,103.1991
622,103.2888
623,103.2475
624,103.2010
625,103.3156
626,103.4898
627,103.6503
628,103.8314
629,104.2185
630,104.5530
631,104.9409
632,105.1278
633,105.2717
634,105.0064
635,104.9849
636,105.1426
637,105.2228
638,105.2221
639,104.9335
640,104.8224
641,104.8444
642,105.0021
643,105.0224
644,105.0875
645,104.8235
646,104.4864
647,104.2744
648,104.4399
649,104.9518
650,105.2025
651,104.9540
652,104.4394
653,104.0941
654,104.0880
655,104.3314
656,104.1888
657,103.8634
658,103.5433
659,103.1896
660,103.1608
661,103.0381
662,102.7838
663,102.4786
664,102.3069
665,102.1742
666,102.2657
667,102.2562
668,102.1360
669,101.9807
670,101.7526
671,101.5087
672,101.4456
673,101.4412
674,101.3243
675,101.2196
676,101.1321
677,101.1202
678,101.3309
679,101.5142
680,101.8039
681,102.1283
682,102.3598
683,102.4644
684,102.8761
685,102.9842
686,102.9626
687,102.8406
688,102.7308
689,102.3247
690,101.7900
691,101.7503
692,101.7931
693,102.0590
694,102.4230
695,102.6833
696,102.3892
697,102.5457
698,102.5058
699,102.1186
700,101.5655
701,101.1861
702,101.0679
703,100.9291
704,100.5027
705,99.8813
706,99.4151
707,99.2062
708,99.2796
709,99.6266
710,99.9629
711,100.1969
712,100.1743
713,100.0217
714,100.0290
715,100.0987
716,100.1490
717,100.2097
718,100.4995
719,100.7567
720,100.5021
721,100.1356
722,99.8942
723,99.7702
724,100.0388
725,100.1960
726,100.1750
727,99.9739
728,99.6583
729,99.4785
730,99.2921
731,99.1368
732,98.8481
733,98.5544
734,98.5393
735,98.7519
736,98.7811
737,98.4582
738,98.0833
739,97.7464
740,97.6549
741,97.5335
742,97.3352
743,97.2214
744,97.4495
745,97.6505
746,97.6187
747,97.6567
748,97.6176
749,97.1064
750,96.3471
751,95.7402
752,95.5375
753,95.6428
754,96.1852
755,96.6609
756,97.0099
757,97.0047
758,96.7710
759,96.6124
760,96.4066
761,96.2081
762,96.0554
763,96.0976
764,96.3693
765,96.5062
766,96.3525
767,96.1327
768,96.3266
769,96.7186
770,97.2102
771,97.1971
772,97.1042
773,97.1321
774,97.2855
775,97.4567
776,97.5151
777,97.4583
778,97.2794
779,97.0003
780,96.7520
781,96.7775
782,96.8267
783,96.9028
784,97.0515
785,97.2399
786,97.5931
787,97.8918
788,97.9865
789,98.0676
790,98.1065
791,98.1431
792,97.6770
793,97.4650
794,97.3593
795,97.1803
796,97.0487
797,97.2125
798,97.9210
799,98.3530
800,98.5218
801,98.3567
802,97.9914
803,97.9256
804,98.3603
805,98.6918
806,98.7901
807,98.8967
808,98.9877
809,99.0269
810,98.9180
811,98.8324
812,98.9407
813,99.1063
814,99.3321
815,99.7944
816,100.1068
817,100.2935
818,100.2069
819,100.0815
820,99.9635
821,99.9542
822,100.1125
823,100.2319
824,100.2507
825,100.2399
826,100.1149
827,99.9105
828,100.0247
829,100.1505
830,100.3652
831,100.4047
832,99.9612
833,99.6520
834,99.4291
835,99.2477
836,99.2515
837,99.4269
838,99.5458
839,99.4691
840,99.2071
841,98.9995
842,98.8162
843,98.6042
844,98.1799
845,98.0757
846,98.1627
847,98.2922
848,98.3843
849,98.3246
850,97.9193
851,97.3169
852,96.8115
853,96.5361
854,96.3668
855,96.2422
856,96.0668
857,96.0708
858,96.1444
859,96.1962
860,96.0732
861,95.6674
862,95.0318
863,94.6904
864,94.7392
865,94.9412
866,94.8229
867,94.4885
868,94.0333
869,93.7465
870,93.6445
871,93.6844
872,93.5233
873,93.2588
874,93.3967
875,93.5527
876,93.8457
877,94.1690
878,94.4813
879,94.4299
880,94.0270
881,93.5012
882,92.9113
883,92.5191
884,91.8707
885,91.3378
886,91.1335
887,91.1626
888,91.1161
889,91.1476
890,90.9937
891,90.7643
892,90.4880
893,90.1997
894,89.8657
895,89.4636
896,89.2593
897,88.9151
898,88.5373
899,88.1457
900,87.6535
901,87.2553
902,87.0982
903,87.0679
904,86.9486
905,86.8728
906,87.0702
907,87.1465
908,86.8041
909,86.3335
910,85.6263
911,84.8735
912,84.3486
913,84.1578
914,83.9564
915,83.7033
916,83.6057
917,83.6238
918,83.4591
919,83.1955
920,82.9950
921,82.9759
922,82.9035
923,82.5265
924,81.7733
925,81.1894
926,80.9286
927,80.8562
928,80.9873
929,80.9763
930,81.0453
931,81.1257
932,81.2406
933,81.3447
934,81.5285
935,81.8406
936,81.6547
937,81.4243
938,81.0424
939,80.5316
940,80.2112
941,79.9865
942,79.6178
943,79.3697
944,79.2548
945,79.0661
946,79.0372
947,79.0445
948,79.1237
949,79.0452
950,78.9352
951,78.8535
952,79.1095
953,79.3009
954,79.2190
955,78.6795
956,77.9734
957,77.3474
958,77.1874
959,77.4835
960,77.5863
961,77.3540
962,76.8608
963,76.6757
964,76.6267
965,76.6126
966,76.3450
967,75.9560
968,75.6768
969,75.6427
970,76.0157
971,76.3843
972,76.4782
973,76.1698
974,75.9975
975,75.7150
976,75.2443
977,74.9043
978,75.0312
979,75.3201
980,75.4088
981,75.1820
982,74.9710
983,74.8090
984,74.7310
985,74.6598
986,74.8172
987,75.3728
988,75.5682
989,75.4448
990,75.1808
991,74.8910
992,74.7131
993,74.7995
994,74.7418
995,74.6469
996,74.3283
997,73.9093
998,73.3020
