Light Intensity, Ch A vs Actual Angular position, Run #14
Actual Angular position	Light Intensity Ch A (%max)
-0.263	0.059
-0.265	0.039
-0.267	0.088
-0.269	0.059
-0.270	0.088
-0.271	0.049
-0.272	0.078
-0.272	0.049
-0.274	0.078
-0.275	0.039
-0.276	0.049
-0.277	0.010
-0.279	0.039
-0.281	0.010
-0.284	0.039
-0.285	0.010
-0.285	0.039
-0.285	0.000
-0.286	0.039
-0.288	0.000
-0.290	0.029
-0.293	0.010
-0.295	0.049
-0.295	0.020
-0.296	0.049
-0.296	0.029
-0.296	0.059
-0.296	0.039
-0.297	0.068
-0.299	0.039
-0.300	0.078
-0.302	0.059
-0.303	0.088
-0.305	0.059
-0.306	0.078
-0.307	0.049
-0.309	0.078
-0.310	0.020
-0.312	0.049
-0.313	0.000
-0.315	0.029
-0.316	0.000
-0.319	0.029
-0.321	0.000
-0.322	0.020
-0.323	0.000
-0.324	0.029
-0.325	0.010
-0.327	0.029
-0.330	0.000
-0.332	0.039
-0.333	0.000
-0.334	0.029
-0.334	0.000
-0.335	0.029
-0.337	0.000
-0.338	0.039
-0.340	0.020
-0.341	0.039
-0.341	0.010
-0.342	0.039
-0.343	0.010
-0.343	0.029
-0.344	0.010
-0.344	0.039
-0.345	0.020
-0.345	0.039
-0.345	0.010
-0.345	0.049
-0.345	0.010
-0.345	0.039
-0.345	0.010
-0.346	0.039
-0.347	0.020
-0.347	0.049
-0.348	0.059
-0.349	0.127
-0.350	0.156
-0.351	0.225
-0.351	0.254
-0.352	0.264
-0.352	0.283
-0.352	0.313
-0.353	0.361
-0.354	0.469
-0.354	0.547
-0.355	0.664
-0.355	0.723
-0.356	0.850
-0.357	0.938
-0.358	1.064
-0.358	1.094
-0.359	1.074
-0.360	1.074
-0.361	1.035
-0.362	0.996
-0.362	0.996
-0.362	0.977
-0.362	0.977
-0.363	0.947
-0.363	0.918
-0.365	0.811
-0.365	0.752
-0.366	0.713
-0.366	0.713
-0.366	0.684
-0.366	0.674
-0.366	0.625
-0.366	0.605
-0.367	0.557
-0.367	0.518
-0.367	0.439
-0.368	0.332
-0.369	0.195
-0.370	0.117
-0.370	0.049
-0.371	0.049
-0.371	0.039
-0.372	0.039
-0.373	0.029
-0.374	0.039
-0.375	0.029
-0.376	0.029
-0.377	0.020
-0.378	0.020
-0.380	0.020
-0.381	0.029
-0.381	0.029
-0.381	0.020
-0.382	0.029
-0.382	0.039
-0.383	0.029
-0.383	0.029
-0.385	0.020
-0.385	0.029
-0.386	0.020
-0.387	0.029
-0.388	0.029
-0.389	0.039
-0.389	0.029
-0.390	0.029
-0.392	0.029
-0.394	0.020
-0.395	0.029
-0.396	0.020
-0.397	0.029
-0.398	0.020
-0.399	0.020
-0.400	0.039
-0.402	0.059
-0.403	0.068
-0.404	0.117
-0.405	0.156
-0.407	0.234
-0.409	0.332
-0.410	0.381
-0.412	0.371
-0.412	0.381
-0.413	0.361
-0.414	0.371
-0.415	0.322
-0.417	0.293
-0.418	0.264
-0.419	0.234
-0.419	0.205
-0.420	0.176
-0.421	0.088
-0.424	0.049
-0.427	0.078
-0.430	0.225
-0.432	0.361
-0.433	0.498
-0.434	0.625
-0.435	0.742
-0.437	0.762
-0.439	0.742
-0.441	0.635
-0.444	0.537
-0.446	0.264
-0.450	0.088
-0.454	0.078
-0.458	0.068
-0.460	0.029
-0.461	0.039
-0.462	0.020
-0.464	0.029
-0.465	0.010
-0.467	0.029
-0.467	0.000
-0.468	0.020
-0.469	0.010
-0.471	0.020
-0.474	0.010
-0.477	0.029
-0.480	0.010
-0.483	0.029
-0.485	0.010
-0.488	0.020
-0.489	0.000
-0.491	0.020
-0.493	0.000
-0.495	0.020
-0.497	0.000
-0.499	0.010
-0.500	0.000
-0.502	0.020
-0.504	0.000
-0.507	0.020
-0.510	0.000
-0.514	0.020
-0.517	0.000
-0.519	0.020
-0.521	0.000
-0.523	0.020
